student_id,age,gender,socioeconomic_status,previous_gpa,attendance_rate,participation_score,assignment_completion,family_support,study_resources,study_hours_per_week,program_of_study,digital_literacy,previous_course_failures,extracurricular_hours,work_hours_per_week,distance_from_campus,final_grade,completed_course,first_generation_student_True
STU0001,0.47059772129008864,2,0,0.9536194926563062,0.08294687368071252,1.667616765950653,-0.4875650502643752,2,"Textbooks, Online Resources",-1.1413708196271195,Business,-2.0178129968398464,-0.5283969817818658,-0.5655671104671657,0.5476606623789034,-0.17911871204240562,100,True,True
STU0002,-0.3229903415937034,1,1,1.9287825884756362,0.7518732743316215,-0.3833068247712326,-1.656367684533446,1,"Textbooks, Online Resources, Tutoring",-0.5420057933039985,Computer Science,-0.5854607275508609,-0.5283969817818658,0.011878889134666417,-0.8716396029430646,-1.0224712667803868,100,True,True
STU0003,0.47059772129008864,1,0,-1.4917895014752451,0.016054233615621537,1.181871704990206,1.2236653258754253,2,"Online Resources, Tutoring",-0.39216453672321816,Economics,-1.6995124925534049,1.4286288766694888,-0.35933639632365416,-0.39853951450240865,-0.3899568507269008,100,True,False
STU0004,1.6609798156157767,2,1,0.5635542543285738,0.6180879942014403,-0.22139180445108386,-0.8039812330223005,2,"Textbooks, Online Resources, Tutoring",-0.21235502882628196,Mathematics,-0.3732603913598999,-0.5283969817818658,-0.07061339652273824,1.210000786195822,3.053732747786522,100,True,True
STU0005,-0.3229903415937034,0,0,-0.7116590248197806,0.7518732743316215,1.181871704990206,1.3980171000481598,2,"Textbooks, Online Resources, Study Group",-0.39216453672321816,Economics,0.5816411214994236,-0.5283969817818658,0.9605401741948192,0.5476606623789034,0.6876603025494087,100,True,True
STU0006,-0.3229903415937034,1,0,-0.5316289148223663,0.21673215381089447,-0.5452218450913814,-0.6554593513196005,0,"Online Resources, Tutoring",-0.15241852619396978,Biology,-0.903761231837302,1.4286288766694888,1.9504476020836738,-0.8716396029430646,0.8750719813800709,85,True,False
STU0007,1.6609798156157767,1,1,-0.6366464789875247,0.8856585544618035,-2.056428701412771,0.965366401175078,2,"Online Resources, Tutoring",-0.0025772696131895357,Biology,-1.4873121563624445,-0.5283969817818658,-0.5243209676384634,-0.8716396029430646,-0.4836626901422321,100,True,True
STU0008,0.8673917527319847,1,1,-0.9216941531500981,0.6180879942014403,-0.49125017165133195,0.920164089352517,1,"Textbooks, Tutoring",-0.032545520929345484,Mathematics,0.10419036506976159,-0.5283969817818658,0.6718171743939031,-0.8716396029430646,0.8984984412339037,94,True,False
STU0009,-0.7197843730355994,2,1,0.023463924336329545,0.016054233615621537,0.4262682768295117,1.1590905947003385,1,"Textbooks, Online Resources",0.26713699223221504,Data Science,0.9529917098336046,-0.5283969817818658,0.8780478885374146,-0.39853951450240865,-0.8584860478035571,100,True,False
STU0010,0.47059772129008864,1,0,-0.8916891348171956,1.4207996749825313,0.31832492994941236,0.5391731754195055,1,Minimal,0.35704174618068313,Chemistry,-1.7525625766011452,1.4286288766694888,-0.5655671104671657,-0.8716396029430646,-0.17911871204240562,100,True,True
STU0011,-0.7197843730355994,2,0,0.2635040709995495,-1.856939688206924,-1.3008252732520762,-0.41653284597177914,1,Minimal,0.38700999749683906,Chemistry,0.8999416257858646,-0.5283969817818658,0.05312503196336874,-0.8716396029430646,0.6173809229879101,88,True,True
STU0012,-0.7197843730355994,2,0,-0.08155363982882885,-0.7866574471654695,-0.3293351513311832,0.7651847345323093,2,Textbooks,0.6866925106583996,Liberal Arts,0.8999416257858646,-0.5283969817818658,0.17686346044947554,-0.020059443749883794,0.5705280032802447,100,True,False
STU0013,0.07380368984819263,2,2,-0.2765862589926954,0.6849806342665307,1.667616765950653,1.0751434441727257,1,"Textbooks, Online Resources",-0.7218153012009347,Chemistry,1.0590918779290857,-0.5283969817818658,-1.1430131100689978,-0.8716396029430646,-1.1864564857572166,100,True,True
STU0014,-1.1165784044774953,1,0,-0.981704189815903,1.5545849551127127,-1.3008252732520762,-0.20343623309399286,1,"Online Resources, Tutoring",-0.6918470498847786,Data Science,1.3243422981677866,-0.5283969817818658,0.3006018889355823,0.45304064469077227,2.4212183317330367,100,True,False
STU0015,-1.1165784044774953,2,1,-0.6216439698210737,-0.25151632664474166,0.7500983174698097,-0.13240402880139776,2,"Online Resources, Study Group",1.1062480290845844,Chemistry,1.6426428024542277,-0.5283969817818658,-1.1842592528977,2.2508209807652655,-0.9521918872188884,100,True,True
STU0016,-0.7197843730355994,0,1,0.7735893826588912,0.1498395137458035,-2.21834372173292,-1.1591422544852779,2,Textbooks,-0.5120375419878425,Chemistry,-0.32021030731215994,-0.5283969817818658,0.5480787459077963,-0.8716396029430646,4.225055740478163,100,True,True
STU0017,-1.1165784044774953,1,1,0.5035442176627688,-1.0542280074258328,0.9659850112300075,1.0751434441727257,0,"Textbooks, Online Resources",-0.27229153145859386,Psychology,0.15724044911750207,-0.5283969817818658,0.011878889134666417,0.7369006977551659,0.6408073828417428,100,True,True
STU0018,0.07380368984819263,1,0,-1.041714226481708,0.8187659143967125,-0.9230235591717288,-2.5862438134546966,2,Online Resources,-0.332228034090906,Data Science,-0.3732603913598999,-0.5283969817818658,0.9605401741948192,-0.30391949681427743,0.5236750835725787,97,True,False
STU0019,-1.1165784044774953,1,1,0.08347396100213453,0.8187659143967125,0.4802399502695611,-0.1776063406239587,2,"Online Resources, Tutoring",3.2939303751639764,Chemistry,0.051140281022021575,-0.5283969817818658,-1.2667515385551047,-0.8716396029430646,-0.9287654273650555,100,True,False
STU0020,-1.1165784044774953,1,1,0.7735893826588912,0.7518732743316215,-1.3547969466921257,-1.1333123620152432,0,"Textbooks, Tutoring",-0.8416883064655589,Computer Science,1.6426428024542277,-0.5283969817818658,1.0430324598522236,0.7369006977551659,-0.7179272886805602,95,True,True
STU0021,1.6609798156157767,1,2,-1.7768371756378185,0.35051743394107643,0.3722966033894618,0.30024667007168404,0,"Textbooks, Tutoring",-0.8416883064655589,Data Science,-1.381211988266964,-0.5283969817818658,0.8780478885374146,0.16918059162637863,2.2103801930485414,97,True,False
